id,student_id,receipt_no,date,total_amount,paid_amount,payment_method,reference_no,status,items
1,1,REC-001,2023-04-05,8500,8500,Cash,,Completed,"Tuition Fee: 5000, Development Fee: 3000, ID Card Fee: 200, Activity Fee: 300"
2,2,REC-002,2023-04-10,5000,5000,Cheque,CHQ123456,Completed,"Tuition Fee: 5000"
3,3,REC-003,2023-04-12,8700,5000,Online,TXN789012,Partial,"Tuition Fee: 5000, Computer Lab Fee: 1500, Library Fee: 1000, Activity Fee: 1000, ID Card Fee: 200"
4,4,REC-004,2023-04-15,7500,7500,Cash,,Completed,"Tuition Fee: 5000, Transport Fee: 2500"
5,5,REC-005,2023-04-18,6200,6200,Online,TXN345678,Completed,"Tuition Fee: 5000, Sports Fee: 1200"
6,6,REC-006,2023-04-20,5000,2500,Cheque,CHQ987654,Partial,"Tuition Fee: 5000"
7,7,REC-007,2023-04-22,8500,8500,Cash,,Completed,"Tuition Fee: 5000, Development Fee: 3000, ID Card Fee: 200, Activity Fee: 300"
8,8,REC-008,2023-04-25,8300,5000,Online,TXN234567,Partial,"Tuition Fee: 5000, Computer Lab Fee: 1500, Library Fee: 1000, ID Card Fee: 200, Activity Fee: 600"
9,9,REC-009,2023-04-28,7500,7500,Cash,,Completed,"Tuition Fee: 5000, Transport Fee: 2500"
10,10,REC-010,2023-05-02,5000,2500,Cheque,CHQ456789,Partial,"Tuition Fee: 5000"
11,11,REC-011,2023-05-05,6200,6200,Online,TXN890123,Completed,"Tuition Fee: 5000, Sports Fee: 1200"
12,12,REC-012,2023-05-08,8500,8500,Cash,,Completed,"Tuition Fee: 5000, Development Fee: 3000, ID Card Fee: 200, Activity Fee: 300"
13,13,REC-013,2023-05-10,8700,5000,Online,TXN567890,Partial,"Tuition Fee: 5000, Computer Lab Fee: 1500, Library Fee: 1000, Activity Fee: 1000, ID Card Fee: 200"
14,14,REC-014,2023-05-12,7500,7500,Cash,,Completed,"Tuition Fee: 5000, Transport Fee: 2500"
15,15,REC-015,2023-05-15,6200,3000,Cheque,CHQ123789,Partial,"Tuition Fee: 5000, Sports Fee: 1200"
